ID;Verein;Position;Marktwert TM;TM-Stärke;exp_games;Erwartete Spiele (TM);exp_gd;Erwartete Tordifferenz (TM)
pl-k00114996;USA;GOALKEEPER;;0.0;3.74;0.0;-2.316;-0.0
pl-k00114998;USA;MIDFIELDER;12000000;0.2;3.74;0.748;-2.316;-0.4632
pl-k00115053;Japan;DEFENDER;;0.0;4.848;0.0;1.906;0.0
pl-k00115136;Japan;FORWARD;8000000;0.2667;4.848;1.2928;1.906;0.5083
pl-k00115166;Japan;FORWARD;14000000;0.4667;4.848;2.2624;1.906;0.8895
pl-k00115227;Japan;DEFENDER;10000000;0.3333;4.848;1.616;1.906;0.6353
pl-k00115263;Elfenbeinküste;DEFENDER;28000000;0.56;3.89;2.1784;-2.143;-1.2001
pl-k00115268;Mexiko;DEFENDER;10000000;0.25;4.905;1.2262;2.864;0.716
pl-k00115533;Kroatien;FORWARD;7000000;0.1;4.93;0.493;2.779;0.2779
pl-k00115539;Südafrika;FORWARD;13000000;1.0;3.314;3.314;-4.325;-4.325
pl-k00115590;Kolumbien;MIDFIELDER;9000000;0.1286;5.21;0.6699;3.512;0.4515
pl-k00115605;Schottland;GOALKEEPER;800000;0.0178;4.12;0.0732;-0.984;-0.0175
pl-k00115622;Paraguay;DEFENDER;12000000;0.48;4.452;2.137;0.178;0.0854
pl-k00115688;Argentinien;DEFENDER;15000000;0.15;5.991;0.8986;8.658;1.2987
pl-k00115723;Ecuador;DEFENDER;;0.0;5.04;0.0;4.088;0.0
pl-k00115737;Kolumbien;FORWARD;70000000;1.0;5.21;5.21;3.512;3.512
pl-k00115738;Kolumbien;GOALKEEPER;;0.0;5.21;0.0;3.512;0.0
pl-k00115740;Argentinien;DEFENDER;50000000;0.5;5.991;2.9955;8.658;4.329
pl-k00115743;Mexiko;MIDFIELDER;;0.0;4.905;0.0;2.864;0.0
pl-k00115744;Mexiko;FORWARD;;0.0;4.905;0.0;2.864;0.0
pl-k00115782;Paraguay;MIDFIELDER;;0.0;4.452;0.0;0.178;0.0
pl-k00115787;Paraguay;DEFENDER;;0.0;4.452;0.0;0.178;0.0
pl-k00115794;Paraguay;DEFENDER;;0.0;4.452;0.0;0.178;0.0
pl-k00115803;Panama;GOALKEEPER;;0.0;3.879;0.0;-2.104;-0.0
pl-k00115805;Paraguay;FORWARD;20000000;0.8;4.452;3.5616;0.178;0.1424
pl-k00115806;Panama;DEFENDER;;0.0;3.879;0.0;-2.104;-0.0
pl-k00115934;Kolumbien;DEFENDER;;0.0;5.21;0.0;3.512;0.0
pl-k00116010;Spanien;MIDFIELDER;50000000;0.4167;6.547;2.7279;13.21;5.5042
pl-k00116213;Uruguay;FORWARD;;0.0;4.672;0.0;1.55;0.0
pl-k00116395;Türkei;DEFENDER;;0.0;4.976;0.0;2.252;0.0
pl-k00116479;Senegal;MIDFIELDER;2000000;0.0444;4.598;0.2044;0.171;0.0076
pl-k00116517;Portugal;MIDFIELDER;110000000;1.0;5.302;5.302;3.99;3.99
pl-k00116544;Spanien;FORWARD;30000000;0.25;6.547;1.6368;13.21;3.3025
pl-k00116568;Tschechien;GOALKEEPER;10000000;0.4;4.198;1.6792;-0.433;-0.1732
pl-k00116607;Portugal;DEFENDER;28000000;0.2545;5.302;1.3496;3.99;1.0156
pl-k00116618;England;GOALKEEPER;18000000;0.1125;5.687;0.6398;6.383;0.7181
pl-k00116621;England;DEFENDER;40000000;0.25;5.687;1.4218;6.383;1.5958
pl-k00116627;England;FORWARD;50000000;0.3125;5.687;1.7772;6.383;1.9947
pl-k00116636;Belgien;GOALKEEPER;25000000;0.3846;4.876;1.8754;2.814;1.0823
pl-k00116650;Belgien;FORWARD;65000000;1.0;4.876;4.876;2.814;2.814
pl-k00116659;Marokko;DEFENDER;12000000;0.15;4.418;0.6627;0.331;0.0496
pl-k00116711;Algerien;MIDFIELDER;;0.0;3.705;0.0;-2.846;-0.0
pl-k00116718;DR Kongo;MIDFIELDER;2000000;0.0714;3.371;0.2408;-4.126;-0.2947
pl-k00116727;Irak;DEFENDER;400000;0.1333;3.185;0.4247;-5.568;-0.7424
pl-k00116730;Schweden;MIDFIELDER;50000000;0.4167;3.796;1.5817;-2.337;-0.9738
pl-k00116735;Bosnien-Herzegowina;MIDFIELDER;2000000;0.0909;3.738;0.3398;-2.61;-0.2373
pl-k00117046;Japan;GOALKEEPER;20000000;0.6667;4.848;3.232;1.906;1.2707
pl-k00117047;Kap Verde;GOALKEEPER;;0.0;3.272;0.0;-5.876;-0.0
pl-k00117048;USA;DEFENDER;18000000;0.3;3.74;1.122;-2.316;-0.6948
pl-k00117065;Norwegen;MIDFIELDER;2500000;0.0125;4.789;0.0599;0.91;0.0114
pl-k00117066;Norwegen;MIDFIELDER;8000000;0.04;4.789;0.1916;0.91;0.0364
pl-k00117247;Haiti;GOALKEEPER;;0.0;3.218;0.0;-5.302;-0.0
pl-k00117251;Haiti;DEFENDER;;0.0;3.218;0.0;-5.302;-0.0
pl-k00117270;Haiti;FORWARD;3000000;0.1667;3.218;0.5363;-5.302;-0.8837
pl-k00117527;Uruguay;DEFENDER;70000000;0.5833;4.672;2.7253;1.55;0.9042
pl-k00117544;Senegal;DEFENDER;600000;0.0133;4.598;0.0613;0.171;0.0023
pl-k00117605;Neuseeland;DEFENDER;175000;0.0219;3.48;0.0761;-3.434;-0.0751
pl-k00117607;Neuseeland;MIDFIELDER;350000;0.0438;3.48;0.1522;-3.434;-0.1502
pl-k00117608;Neuseeland;MIDFIELDER;1200000;0.15;3.48;0.522;-3.434;-0.5151
pl-k00117610;Neuseeland;MIDFIELDER;600000;0.075;3.48;0.261;-3.434;-0.2576
pl-k00117612;Neuseeland;DEFENDER;3000000;0.375;3.48;1.305;-3.434;-1.2878
pl-k00117615;Neuseeland;DEFENDER;300000;0.0375;3.48;0.1305;-3.434;-0.1288
pl-k00117616;Neuseeland;FORWARD;;0.0;3.48;0.0;-3.434;-0.0
pl-k00117619;Katar;GOALKEEPER;;0.0;3.194;0.0;-5.532;-0.0
pl-k00117627;Katar;MIDFIELDER;;0.0;3.194;0.0;-5.532;-0.0
pl-k00117630;Katar;DEFENDER;;0.0;3.194;0.0;-5.532;-0.0
pl-k00117636;Katar;GOALKEEPER;;0.0;3.194;0.0;-5.532;-0.0
pl-k00117676;Ägypten;DEFENDER;;0.0;3.951;0.0;-1.446;-0.0
pl-k00117677;Ägypten;MIDFIELDER;;0.0;3.951;0.0;-1.446;-0.0
pl-k00117727;Saudi-Arabien;DEFENDER;3000000;1.0;3.316;3.316;-5.57;-5.57
pl-k00117731;Saudi-Arabien;DEFENDER;;0.0;3.316;0.0;-5.57;-0.0
