ID;Verein;Position;Elo;EAR-180;z_Elo;z_EAR;Qualität;Pos-Rang im Team;Qualitäts-Multiplikator (Basis);Qualitäts-Multiplikator;exp_games;Erwartete Spiele (Qualität);exp_gd;Erwartete Tordifferenz (Qualität)
pl-k00075076;Senegal;DEFENDER;2034.9;2.39;1.1595;1.2121;1.1858;2;0.6364;0.6364;4.598;2.9264;0.171;0.1088
pl-k00075102;Kap Verde;FORWARD;1288.1;-2.17;-1.2077;-1.7542;-1.481;7;0.0744;0.0372;3.272;0.1218;-5.876;-0.2187
pl-k00075261;Bosnien-Herzegowina;FORWARD;1559.8;-0.52;-0.3098;-0.5664;-0.4381;4;0.2836;0.1418;3.738;0.53;-2.61;-0.3701
pl-k00075379;Schweiz;DEFENDER;1764.2;-0.49;0.2719;-0.9282;-0.3282;7;0.3256;0.1628;5.181;0.8435;4.737;0.7713
pl-k00075584;Frankreich;MIDFIELDER;1836.1;2.34;0.6109;1.0295;0.8202;2;0.5746;0.5746;6.141;3.5289;7.58;4.3558
pl-k00075612;Bosnien-Herzegowina;MIDFIELDER;1536.2;-1.72;-0.4263;-1.7423;-1.0843;9;0.1478;0.0739;3.738;0.2763;-2.61;-0.1929
pl-k00075628;Türkei;MIDFIELDER;792.0;;-3.0001;0.0;-1.5001;6;0.0546;0.0273;4.976;0.136;2.252;0.0615
pl-k00075738;Australien;DEFENDER;1458.1;0.95;-0.7318;0.142;-0.2949;8;0.3325;0.1662;4.066;0.6759;-0.993;-0.1651
pl-k00075849;Spanien;DEFENDER;1890.0;0.19;0.6844;-0.4229;0.1307;7;0.4198;0.2099;6.547;1.3744;13.21;2.7731
pl-k00075878;Australien;GOALKEEPER;1906.3;1.92;0.9708;1.4719;1.2214;1;0.7951;0.7951;4.066;3.233;-0.993;-0.7896
pl-k00075957;Ägypten;DEFENDER;1591.9;1.2;-0.2931;0.3277;0.0173;3;0.3966;0.3966;3.951;1.5668;-1.446;-0.5734
pl-k00075963;Ägypten;MIDFIELDER;1519.5;-0.72;-0.4841;-1.0596;-0.7718;8;0.2179;0.1089;3.951;0.4304;-1.446;-0.1575
pl-k00075982;Curacao;DEFENDER;1642.0;0.2;-0.1288;-0.4154;-0.2721;1;0.3371;0.3371;3.121;1.0522;-6.73;-2.2689
pl-k00076167;DR Kongo;DEFENDER;1802.2;1.44;0.3965;0.5061;0.4513;1;0.4856;0.4856;3.371;1.6371;-4.126;-2.0038
pl-k00076249;Kap Verde;GOALKEEPER;1308.2;0.0;-0.8501;-0.4717;-0.6609;2;0.3498;0.1749;3.272;0.5722;-5.876;-1.0276
pl-k00076421;Österreich;DEFENDER;1760.8;0.69;0.2607;-0.0513;0.1047;7;0.4145;0.2073;4.129;0.8557;-1.1;-0.228
pl-k00076459;England;DEFENDER;1995.4;0.48;1.03;-0.2073;0.4113;5;0.4774;0.2387;5.687;1.3576;6.383;1.5238
pl-k00076681;Ghana;MIDFIELDER;1712.0;-0.49;0.1817;-0.9026;-0.3604;5;0.31;0.155;3.144;0.4874;-6.374;-0.9881
pl-k00077108;Brasilien;MIDFIELDER;1963.0;2.39;1.0498;1.0636;1.0567;3;0.6276;0.6276;5.351;3.3585;5.126;3.2173
pl-k00077358;Norwegen;GOALKEEPER;1860.8;-0.24;0.8323;-0.7147;0.0588;2;0.5201;0.26;4.789;1.2453;0.91;0.2366
pl-k00077564;Uruguay;DEFENDER;1835.7;1.64;0.5063;0.6547;0.5805;3;0.5122;0.5122;4.672;2.3929;1.55;0.7939
pl-k00077709;Norwegen;MIDFIELDER;1272.3;-0.02;-1.339;-0.5817;-0.9603;11;0.1756;0.0878;4.789;0.4205;0.91;0.0799
pl-k00078155;Curacao;MIDFIELDER;1357.5;-1.45;-1.0443;-1.558;-1.3012;6;0.0992;0.0496;3.121;0.1548;-6.73;-0.3339
pl-k00078170;Curacao;GOALKEEPER;1505.0;0.0;-0.2509;-0.4717;-0.3613;1;0.4207;0.4207;3.121;1.3129;-6.73;-2.831
pl-k00078181;Frankreich;GOALKEEPER;1919.5;0.96;1.011;0.5001;0.7556;2;0.6849;0.3425;6.141;2.103;7.58;2.5958
pl-k00078230;Niederlande;DEFENDER;1953.6;4.29;0.8929;2.6242;1.7585;1;0.754;0.754;5.268;3.9722;3.773;2.8449
pl-k00078543;Kanada;MIDFIELDER;1441.2;0.47;-0.7549;-0.2472;-0.501;7;0.2785;0.1393;4.653;0.648;1.822;0.2538
pl-k00078573;Kolumbien;DEFENDER;1719.0;-0.99;0.1237;-1.2998;-0.5881;7;0.2723;0.1361;5.21;0.7093;3.512;0.4781
pl-k00078750;Portugal;MIDFIELDER;2097.9;4.54;1.5163;2.5315;2.0239;2;0.8444;0.8444;5.302;4.477;3.99;3.3692
pl-k00079032;Australien;FORWARD;1420.9;0.72;-0.7689;0.3263;-0.2213;3;0.3271;0.3271;4.066;1.3299;-0.993;-0.3248
pl-k00079078;Bosnien-Herzegowina;GOALKEEPER;1617.2;0.96;0.0907;0.5001;0.2954;2;0.576;0.288;3.738;1.0766;-2.61;-0.7517
pl-k00079176;Türkei;MIDFIELDER;658.8;;-3.4608;0.0;-1.7304;7;0.003;0.0015;4.976;0.0075;2.252;0.0034
pl-k00079478;Uruguay;DEFENDER;1867.5;0.95;0.6106;0.142;0.3763;4;0.4702;0.2351;4.672;1.0985;1.55;0.3644
pl-k00079504;Österreich;MIDFIELDER;1664.3;0.93;0.0167;0.0669;0.0418;8;0.4002;0.2001;4.129;0.8262;-1.1;-0.2201
pl-k00079536;Australien;MIDFIELDER;1367.0;0.22;-1.0115;-0.4178;-0.7147;10;0.2307;0.1153;4.066;0.4689;-0.993;-0.1145
pl-k00079543;Deutschland;MIDFIELDER;1795.5;0.44;0.4705;-0.2676;0.1014;11;0.4136;0.2068;5.097;1.0539;3.97;0.8209
pl-k00080083;Deutschland;MIDFIELDER;1693.2;1.92;0.1167;0.7428;0.4297;8;0.4871;0.2436;5.097;1.2415;3.97;0.967
pl-k00080174;Deutschland;DEFENDER;2032.2;2.39;1.1506;1.2121;1.1814;4;0.6355;0.3178;5.097;1.6197;3.97;1.2615
pl-k00080229;Paraguay;FORWARD;1692.3;-1.2;0.1281;-1.0559;-0.4639;6;0.2784;0.1392;4.452;0.6197;0.178;0.0248
pl-k00080522;Paraguay;DEFENDER;1899.4;1.4;0.7152;0.4764;0.5958;1;0.5153;0.5153;4.452;2.2942;0.178;0.0917
pl-k00080587;Iran;FORWARD;1537.1;-3.12;-0.3848;-2.4381;-1.4115;6;0.0884;0.0442;4.3;0.19;-0.05;-0.0022
pl-k00080630;Brasilien;DEFENDER;1773.5;1.67;0.3024;0.677;0.4897;4;0.4935;0.2468;5.351;1.3205;5.126;1.2649
pl-k00080786;Belgien;MIDFIELDER;2203.8;4.29;1.8826;2.3608;2.1217;1;0.8663;0.8663;4.876;4.2242;2.814;2.4378
pl-k00081053;Tschechien;DEFENDER;1798.6;1.65;0.3847;0.6622;0.5234;2;0.5005;0.5005;4.198;2.1009;-0.433;-0.2167
pl-k00081250;Belgien;DEFENDER;1916.9;3.79;0.7726;2.2526;1.5126;1;0.7035;0.7035;4.876;3.4304;2.814;1.9797
pl-k00081292;Kolumbien;FORWARD;1747.3;0.95;0.3098;0.4918;0.4008;1;0.4518;0.4518;5.21;2.3541;3.512;1.5869
pl-k00081362;Kroatien;MIDFIELDER;1800.4;0.22;0.4874;-0.4178;0.0348;8;0.3986;0.1993;4.93;0.9826;2.779;0.5539
pl-k00081442;Senegal;GOALKEEPER;1530.3;0.48;-0.1739;0.0142;-0.0798;2;0.4872;0.2436;4.598;1.1202;0.171;0.0417
pl-k00081465;Spanien;DEFENDER;1910.3;3.55;0.7509;2.0742;1.4126;3;0.683;0.683;6.547;4.4716;13.21;9.0224
pl-k00081503;DR Kongo;MIDFIELDER;1573.1;-0.01;-0.2987;-0.5749;-0.4368;5;0.2929;0.1465;3.371;0.4937;-4.126;-0.6043
pl-k00081538;Elfenbeinküste;MIDFIELDER;1563.4;-0.01;-0.3322;-0.5749;-0.4535;6;0.2892;0.1446;3.89;0.5625;-2.143;-0.3099
pl-k00081694;Kroatien;DEFENDER;1782.8;0.89;0.3329;0.0974;0.2151;4;0.4372;0.2186;4.93;1.0776;2.779;0.6074
pl-k00081971;Australien;MIDFIELDER;1643.5;0.67;-0.0552;-0.1106;-0.0829;5;0.3722;0.1861;4.066;0.7568;-0.993;-0.1848
pl-k00082152;Frankreich;DEFENDER;2107.4;2.62;1.3972;1.3831;1.3901;4;0.6784;0.3392;6.141;2.083;7.58;2.5711
pl-k00082469;Belgien;DEFENDER;1886.6;1.17;0.6732;0.3055;0.4893;3;0.4935;0.4935;4.876;2.4061;2.814;1.3886
pl-k00082709;Kap Verde;FORWARD;1459.6;0.23;-0.641;-0.0265;-0.3337;2;0.3045;0.3045;3.272;0.9964;-5.876;-1.7894
pl-k00082878;Schottland;DEFENDER;2073.6;-0.73;1.2864;-1.1066;0.0899;6;0.4115;0.2057;4.12;0.8476;-0.984;-0.2024
pl-k00082905;Ecuador;FORWARD;1576.2;0.0;-0.2556;-0.192;-0.2238;4;0.3266;0.1633;5.04;0.8229;4.088;0.6675
pl-k00082915;Schweiz;FORWARD;1826.7;-0.99;0.5722;-0.9047;-0.1662;5;0.3381;0.1691;5.181;0.8759;4.737;0.8008
pl-k00082944;Kolumbien;GOALKEEPER;1569.8;-0.48;-0.0536;-0.9576;-0.5056;3;0.3865;0.1933;5.21;1.0068;3.512;0.6787
pl-k00083013;Argentinien;MIDFIELDER;1714.3;2.64;0.1896;1.2343;0.712;4;0.5504;0.2752;5.991;1.6487;8.658;2.3826
pl-k00083165;Norwegen;FORWARD;1978.5;-0.01;1.0739;-0.1992;0.4373;2;0.4592;0.4592;4.789;2.1989;0.91;0.4178
pl-k00083248;Iran;MIDFIELDER;1604.6;-0.74;-0.1898;-1.0732;-0.6315;6;0.2493;0.1247;4.3;0.536;-0.05;-0.0062
pl-k00083526;Algerien;DEFENDER;1866.2;4.07;0.6063;2.4607;1.5335;1;0.7078;0.7078;3.705;2.6225;-2.846;-2.0145
pl-k00083529;Algerien;FORWARD;1983.3;4.31;1.0898;2.9106;2.0002;1;0.7726;0.7726;3.705;2.8624;-2.846;-2.1988
pl-k00083544;Iran;GOALKEEPER;1665.6;0.0;0.238;-0.4717;-0.1168;1;0.4785;0.4785;4.3;2.0575;-0.05;-0.0239
pl-k00083613;Norwegen;MIDFIELDER;2197.5;0.91;1.8608;0.0532;0.957;4;0.6053;0.3027;4.789;1.4494;0.91;0.2754
pl-k00083712;Kanada;FORWARD;1694.9;-0.48;0.1367;-0.5376;-0.2005;2;0.3312;0.3312;4.653;1.5413;1.822;0.6035
pl-k00083739;Südafrika;FORWARD;1248.1;-0.02;-1.3399;-0.2064;-0.7732;7;0.2164;0.1082;3.314;0.3586;-4.325;-0.4679
pl-k00083783;Paraguay;DEFENDER;1631.7;-0.49;-0.1626;-0.9282;-0.5454;7;0.281;0.1405;4.452;0.6256;0.178;0.025
pl-k00083984;Schweden;DEFENDER;1985.0;1.41;0.9959;0.4838;0.7398;1;0.5449;0.5449;3.796;2.0684;-2.337;-1.2734
pl-k00083987;Schweden;MIDFIELDER;1773.8;-0.54;0.3954;-0.9367;-0.2706;3;0.3302;0.3302;3.796;1.2533;-2.337;-0.7716
pl-k00084324;Schweiz;MIDFIELDER;1820.7;1.14;0.5576;0.2103;0.3839;3;0.4769;0.4769;5.181;2.4707;4.737;2.2589
pl-k00084365;Schweiz;DEFENDER;1735.1;1.41;0.1765;0.4838;0.3301;3;0.4608;0.4608;5.181;2.3873;4.737;2.1827
pl-k00084527;Uruguay;FORWARD;1686.6;-0.96;0.1092;-0.8831;-0.3869;7;0.2938;0.1469;4.672;0.6864;1.55;0.2277
pl-k00084530;Kanada;DEFENDER;1698.1;0.0;0.0551;-0.5641;-0.2545;7;0.3408;0.1704;4.653;0.7928;1.822;0.3104
pl-k00084740;Neuseeland;MIDFIELDER;1425.5;1.67;-0.8092;0.5721;-0.1185;3;0.3643;0.3643;3.48;1.2676;-3.434;-1.2509
pl-k00084940;Österreich;DEFENDER;1976.1;0.7;0.9667;-0.0438;0.4614;3;0.4877;0.4877;4.129;2.0138;-1.1;-0.5365
pl-k00084943;Österreich;MIDFIELDER;2182.3;-0.05;1.8082;-0.6022;0.603;3;0.526;0.526;4.129;2.1717;-1.1;-0.5786
pl-k00085071;Österreich;GOALKEEPER;1571.3;0.23;-0.0491;-0.2389;-0.144;3;0.4721;0.236;4.129;0.9746;-1.1;-0.2596
pl-k00085122;Kroatien;FORWARD;1761.4;0.21;0.3564;-0.0409;0.1578;5;0.4031;0.2015;4.93;0.9936;2.779;0.5601
pl-k00085245;Portugal;MIDFIELDER;1609.9;-0.48;-0.1714;-0.8957;-0.5336;5;0.2712;0.1356;5.302;0.7191;3.99;0.5411
pl-k00085275;Argentinien;GOALKEEPER;1788.4;-0.72;0.6119;-1.2006;-0.2943;3;0.4365;0.2182;5.991;1.3075;8.658;1.8896
pl-k00085276;Argentinien;MIDFIELDER;1847.2;2.62;0.6493;1.2207;0.935;3;0.6004;0.6004;5.991;3.5968;8.658;5.198
pl-k00085349;Portugal;MIDFIELDER;2114.4;2.64;1.5734;1.2343;1.4039;4;0.7054;0.3527;5.302;1.8701;3.99;1.4074
pl-k00085376;DR Kongo;DEFENDER;1731.0;-0.01;0.163;-0.5715;-0.2042;4;0.3511;0.1755;3.371;0.5917;-4.126;-0.7243
pl-k00085378;Tschechien;GOALKEEPER;1639.7;0.48;0.1592;0.0142;0.0867;2;0.5267;0.2633;4.198;1.1054;-0.433;-0.114
pl-k00085465;Kroatien;MIDFIELDER;1742.1;2.59;0.2858;1.2002;0.743;4;0.5573;0.2787;4.93;1.3738;2.779;0.7744
pl-k00085665;Brasilien;GOALKEEPER;2047.8;0.96;1.4016;0.5001;0.9509;1;0.7311;0.7311;5.351;3.9122;5.126;3.7477
pl-k00085696;Belgien;MIDFIELDER;1903.8;4.75;0.845;2.6748;1.7599;2;0.7852;0.7852;4.876;3.8289;2.814;2.2097
pl-k00085778;Tschechien;FORWARD;1881.0;1.43;0.7517;0.8374;0.7945;1;0.5308;0.5308;4.198;2.2283;-0.433;-0.2298
