ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00093879;Charles;Pickel;Pickel;Charles Pickel;DR Kongo;MIDFIELDER;1000000;0;0.0
pl-k00093952;Marcio Salomao;Brazao Rosa;Marcio Rosa;Marcio Rosa;Kap Verde;GOALKEEPER;2000000;0;0.0
pl-k00094296;Brahim;Diaz;Brahim Diaz;Brahim Diaz;Marokko;FORWARD;6000000;0;0.0
pl-k00094309;John;Yeboah;Yeboah;John Yeboah;Ecuador;FORWARD;4000000;0;0.0
pl-k00094312;Eric;Davis;Davis;Eric Davis;Panama;DEFENDER;1000000;0;0.0
pl-k00094313;Roderick;Miller;Miller;Roderick Miller;Panama;DEFENDER;1000000;0;0.0
pl-k00094314;Fidel;Escobar;Escobar;Fidel Escobar;Panama;DEFENDER;1000000;0;0.0
pl-k00094316;Alberto;Quintero;Quintero;Alberto Quintero;Panama;MIDFIELDER;1000000;0;0.0
pl-k00094317;Anibal;Godoy;Godoy;Anibal Godoy;Panama;MIDFIELDER;2000000;0;0.0
pl-k00094325;Ismael;Diaz;Diaz;Ismael Diaz;Panama;FORWARD;1000000;0;0.0
pl-k00094331;Miguel;Almiron;Almiron;Miguel Almiron;Paraguay;MIDFIELDER;4000000;0;0.0
pl-k00094503;Duckens;Nazon;Nazon;Duckens Nazon;Haiti;FORWARD;1000000;0;0.0
pl-k00094622;Yerry Fernando;Mina Gonzalez;Yerry Mina;Yerry Mina;Kolumbien;DEFENDER;2000000;0;0.0
pl-k00094626;Jason;Geria;Geria;Jason Geria;Australien;DEFENDER;1000000;0;0.0
pl-k00094807;Alexander;Isak;Isak;Alexander Isak;Schweden;FORWARD;8000000;0;0.0
pl-k00094866;Raphael;Dias Belloli;Raphinha;Raphinha;Brasilien;FORWARD;10000000;21;3.38
pl-k00094959;Romano;Schmid;Schmid;Romano Schmid;Österreich;MIDFIELDER;4000000;0;0.0
pl-k00095021;Diogo;Meireles Costa;Diogo Costa;Diogo Costa;Portugal;GOALKEEPER;8000000;20;3.6
pl-k00095023;José Diogo;Dalot Teixeira;Diogo Dalot;Diogo Dalot;Portugal;DEFENDER;4000000;28;2.33
pl-k00095030;Christian;Fassnacht;Fassnacht;Christian Fassnacht;Schweiz;MIDFIELDER;1000000;2;0.0
pl-k00095063;Kristijan;Jakic;Jakic;Kristijan Jakic;Kroatien;MIDFIELDER;2000000;2;0.0
pl-k00095107;Ivan;Sunjic;Sunjic;Ivan Sunjic;Bosnien-Herzegowina;MIDFIELDER;2000000;0;0.0
pl-k00095175;Ismail;Jakobs;Jakobs;Ismail Jakobs;Senegal;DEFENDER;2000000;15;3.5
pl-k00095198;Anthony;Ralston;Ralston;Anthony Ralston;Schottland;DEFENDER;2000000;0;0.0
pl-k00095199;Kristoffer;Ajer;Ajer;Kristoffer Ajer;Norwegen;DEFENDER;4000000;0;0.0
pl-k00095254;Ibrahim;Sangaré;I. Sangaré;Ibrahim Sangaré;Elfenbeinküste;MIDFIELDER;4000000;0;0.0
pl-k00095392;Yoane;Wissa;Wissa;Yoane Wissa;DR Kongo;FORWARD;6000000;0;0.0
pl-k00095393;Nicolas;Pepé;Pepé;Nicolas Pepé;Elfenbeinküste;FORWARD;2000000;0;0.0
pl-k00095547;Gustaf;Nilsson;Nilsson;Gustaf Nilsson;Schweden;FORWARD;2000000;0;0.0
pl-k00095604;Fahad;Talib;Talib;Fahad Talib;Irak;GOALKEEPER;1000000;0;0.0
pl-k00095650;Martin;Boyle;Boyle;Martin Boyle;Australien;MIDFIELDER;1000000;0;0.0
pl-k00095657;Giovani;Lo Celso;Lo Celso;Giovani Lo Celso;Argentinien;MIDFIELDER;4000000;0;0.0
pl-k00095671;Cesar;Montes;Montes;Cesar Montes;Mexiko;DEFENDER;4000000;25;2.5
pl-k00095732;Deiver;Machado;Machado;Deiver Machado;Kolumbien;DEFENDER;1000000;0;0.0
pl-k00095741;Ken;Sema;Sema;Ken Sema;Schweden;MIDFIELDER;1000000;0;0.0
pl-k00095804;Stjepan;Radeljic;Radeljic;Stjepan Radeljic;Bosnien-Herzegowina;DEFENDER;2000000;0;0.0
pl-k00095836;Baghdad;Bounedjah;Bounedjah;Baghdad Bounedjah;Algerien;FORWARD;1000000;0;0.0
pl-k00095892;Aubrey;Modiba;Modiba;Aubrey Modiba;Südafrika;DEFENDER;2000000;0;0.0
pl-k00095993;Muhammed;Sengezer;Sengezer;Muhammed Sengezer;Türkei;GOALKEEPER;1000000;0;0.0
pl-k00096140;Nico;Schlotterbeck;N. Schlotterbeck;Nico Schlotterbeck;Deutschland;DEFENDER;8000000;0;5.0
pl-k00096154;Weverton;Pereira da Silva;Weverton;Weverton;Brasilien;GOALKEEPER;2000000;2;0.0
pl-k00096210;Eric;Smith;Smith;Eric Smith;Schweden;DEFENDER;2000000;0;0.0
pl-k00096455;Saeid;Ezatolahi;Ezatolahi;Saeid Ezatolahi;Iran;MIDFIELDER;2000000;6;3.83
pl-k00096489;Ferdi;Kadioglu;Kadioglu;Ferdi Kadioglu;Türkei;DEFENDER;4000000;0;0.0
pl-k00096513;Guus;Til;Til;Guus Til;Niederlande;MIDFIELDER;4000000;0;0.0
pl-k00096516;Sherel;Floranus;Floranus;Sherel Floranus;Curacao;DEFENDER;1000000;0;0.0
pl-k00096664;Edmilson Junior Paulo;da Silva;Edmilson Junior;Edmilson Junior;Katar;FORWARD;2000000;0;0.0
pl-k00096665;Angus;Gunn;Gunn;Angus Gunn;Schottland;GOALKEEPER;2000000;0;0.0
pl-k00096715;Davinson;Sanchez;D. Sanchez;Davinson Sanchez;Kolumbien;DEFENDER;4000000;0;0.0
pl-k00096721;Anthony;Mandrea;Mandrea;Anthony Mandrea;Algerien;GOALKEEPER;1000000;0;0.0
pl-k00096723;Ismaila;Sarr;I. Sarr;Ismaila Sarr;Senegal;FORWARD;4000000;31;3.0
pl-k00096767;Tomas;Soucek;Soucek;Tomas Soucek;Tschechien;MIDFIELDER;6000000;0;0.0
pl-k00096835;Leandro;Trossard;Trossard;Leandro Trossard;Belgien;FORWARD;4000000;4;4.5
pl-k00096877;Aiden;O'Neill;O'Neill;Aiden O'Neill;Australien;MIDFIELDER;2000000;0;0.0
pl-k00096971;Akram;Afif;Afif;Akram Afif;Katar;FORWARD;4000000;8;3.83
pl-k00097030;Ghislain;Konan;Konan;Ghislain Konan;Elfenbeinküste;DEFENDER;2000000;0;0.0
pl-k00097143;Weston;McKennie;McKennie;Weston McKennie;USA;MIDFIELDER;4000000;22;3.13
pl-k00097277;Orbelin;Pineda;Pineda;Orbelin Pineda;Mexiko;MIDFIELDER;2000000;4;3.5
pl-k00097322;Michel;Aebischer;Aebischer;Michel Aebischer;Schweiz;MIDFIELDER;1000000;2;0.0
pl-k00097376;Alexis;Guendouz;Guendouz;Alexis Guendouz;Algerien;GOALKEEPER;1000000;0;0.0
pl-k00097512;Jean-Philippe;Mateta;Mateta;Jean-Philippe Mateta;Frankreich;FORWARD;6000000;0;0.0
pl-k00097518;Houssem;Aouar;Aouar;Houssem Aouar;Algerien;MIDFIELDER;2000000;0;0.0
pl-k00097593;Deroy;d'Encarnacao Duarte;Deroy Duarte;Deroy Duarte;Kap Verde;MIDFIELDER;1000000;0;0.0
pl-k00097599;John;Souttar;Souttar;John Souttar;Schottland;DEFENDER;2000000;0;0.0
pl-k00097772;Jesus;Gallardo;Gallardo;Jesus Gallardo;Mexiko;DEFENDER;2000000;16;3.17
pl-k00097808;Christopher;Operi;Operi;Christopher Operi;Elfenbeinküste;DEFENDER;999000000;0;0.0
pl-k00097868;Merih;Demiral;Demiral;Merih Demiral;Türkei;DEFENDER;2000000;0;0.0
pl-k00098067;Edson;Alvarez;Ed. Alvarez;Edson Alvarez;Mexiko;MIDFIELDER;4000000;8;3.5
pl-k00098095;Justin;Kluivert;Kluivert;Justin Kluivert;Niederlande;MIDFIELDER;4000000;0;0.0
pl-k00098133;Aaron;Wan-Bissaka;Wan-Bissaka;Aaron Wan-Bissaka;DR Kongo;DEFENDER;4000000;0;0.0
pl-k00098162;Declan;Rice;Rice;Declan Rice;England;MIDFIELDER;8000000;20;3.5
pl-k00098210;Karim;Hafez;Hafez;Karim Hafez;Ägypten;DEFENDER;2000000;0;0.0
pl-k00098226;Munir Mohand;Mohamedi El Kajoui;Munir;Munir;Marokko;GOALKEEPER;2000000;8;3.0
pl-k00098238;Meschack;Elia;Elia;Meschack Elia;DR Kongo;MIDFIELDER;2000000;0;0.0
pl-k00098347;Saman;Ghoddos;Ghoddos;Saman Ghoddos;Iran;MIDFIELDER;2000000;6;2.5
pl-k00098354;Ismael;Bennacer;Bennacer;Ismael Bennacer;Algerien;MIDFIELDER;4000000;0;0.0
pl-k00098506;Andres;Cubas;Cubas;Andres Cubas;Paraguay;MIDFIELDER;4000000;0;0.0
pl-k00098535;Ahmed;Sayed;Zizo;Zizo;Ägypten;MIDFIELDER;2000000;0;0.0
pl-k00098554;Achraf;Hakimi;Hakimi;Achraf Hakimi;Marokko;DEFENDER;8000000;45;2.93
pl-k00098565;Aaron;Tshibola;Tshibola;Aaron Tshibola;DR Kongo;MIDFIELDER;1000000;0;0.0
