ID;Verein;Position;Elo;Elo-Stärke;exp_games;Erwartete Spiele (Elo);exp_gd;Erwartete Tordifferenz (Elo)
pl-k00076681;Ghana;MIDFIELDER;1712.0;0.8087;3.144;2.5426;-6.374;-5.1548
pl-k00077108;Brasilien;MIDFIELDER;1963.0;0.8638;5.351;4.6222;5.126;4.4279
pl-k00077358;Norwegen;GOALKEEPER;1860.8;0.8131;4.789;3.8938;0.91;0.7399
pl-k00077564;Uruguay;DEFENDER;;0.0;4.672;0.0;1.55;0.0
pl-k00077709;Norwegen;MIDFIELDER;1272.3;0.5559;4.789;2.6623;0.91;0.5059
pl-k00078155;Curacao;MIDFIELDER;;0.0;3.121;0.0;-6.73;-0.0
pl-k00078170;Curacao;GOALKEEPER;1505.0;0.8639;3.121;2.6961;-6.73;-5.8137
pl-k00078181;Frankreich;GOALKEEPER;1919.5;0.8516;6.141;5.2294;7.58;6.4548
pl-k00078230;Niederlande;DEFENDER;;0.0;5.268;0.0;3.773;0.0
pl-k00078543;Kanada;MIDFIELDER;1441.2;0.7095;4.653;3.3011;1.822;1.2926
pl-k00078573;Kolumbien;DEFENDER;1719.0;0.8984;5.21;4.6809;3.512;3.1553
pl-k00078750;Portugal;MIDFIELDER;2097.9;0.8947;5.302;4.7435;3.99;3.5697
pl-k00079032;Australien;FORWARD;1420.9;0.7454;4.066;3.0307;-0.993;-0.7402
pl-k00079078;Bosnien-Herzegowina;GOALKEEPER;1617.2;0.8783;3.738;3.2832;-2.61;-2.2925
pl-k00079176;Türkei;MIDFIELDER;658.8;0.3177;4.976;1.5807;2.252;0.7154
pl-k00079478;Uruguay;DEFENDER;1867.5;0.9019;4.672;4.2135;1.55;1.3979
pl-k00079504;Österreich;MIDFIELDER;1664.3;0.7626;4.129;3.1489;-1.1;-0.8389
pl-k00079536;Australien;MIDFIELDER;1367.0;0.7171;4.066;2.9157;-0.993;-0.7121
pl-k00079543;Deutschland;MIDFIELDER;1795.5;0.8189;5.097;4.1739;3.97;3.251
pl-k00080083;Deutschland;MIDFIELDER;1693.2;0.7722;5.097;3.9361;3.97;3.0658
pl-k00080174;Deutschland;DEFENDER;2032.2;0.9268;5.097;4.7241;3.97;3.6796
pl-k00080229;Paraguay;FORWARD;1692.3;0.8886;4.452;3.956;0.178;0.1582
pl-k00080522;Paraguay;DEFENDER;;0.0;4.452;0.0;0.178;0.0
pl-k00080587;Iran;FORWARD;1537.1;0.8311;4.3;3.5739;-0.05;-0.0416
pl-k00080630;Brasilien;DEFENDER;1773.5;0.7804;5.351;4.176;5.126;4.0004
pl-k00080786;Belgien;MIDFIELDER;2203.8;1.0;4.876;4.876;2.814;2.814
pl-k00081053;Tschechien;DEFENDER;1798.6;0.9562;4.198;4.0141;-0.433;-0.414
pl-k00081250;Belgien;DEFENDER;1916.9;0.8698;4.876;4.2412;2.814;2.4477
pl-k00081292;Kolumbien;FORWARD;;0.0;5.21;0.0;3.512;0.0
pl-k00081362;Kroatien;MIDFIELDER;1800.4;0.809;4.93;3.9885;2.779;2.2483
pl-k00081442;Senegal;GOALKEEPER;1530.3;0.7326;4.598;3.3684;0.171;0.1253
pl-k00081465;Spanien;DEFENDER;1910.3;0.8077;6.547;5.2878;13.21;10.6693
pl-k00081503;DR Kongo;MIDFIELDER;1573.1;0.7589;3.371;2.5582;-4.126;-3.1312
pl-k00081538;Elfenbeinküste;MIDFIELDER;1563.4;0.7522;3.89;2.9263;-2.143;-1.6121
pl-k00081694;Kroatien;DEFENDER;1782.8;0.8011;4.93;3.9495;2.779;2.2263
pl-k00081971;Australien;MIDFIELDER;1643.5;0.8621;4.066;3.5055;-0.993;-0.8561
pl-k00082152;Frankreich;DEFENDER;351.2;0.1558;6.141;0.9568;7.58;1.181
pl-k00082469;Belgien;DEFENDER;1886.6;0.8561;4.876;4.1742;2.814;2.409
pl-k00082709;Kap Verde;FORWARD;1459.6;0.7432;3.272;2.4318;-5.876;-4.3671
pl-k00082878;Schottland;DEFENDER;;0.0;4.12;0.0;-0.984;-0.0
pl-k00082905;Ecuador;FORWARD;;0.0;5.04;0.0;4.088;0.0
pl-k00082915;Schweiz;FORWARD;1826.7;0.881;5.181;4.5645;4.737;4.1734
pl-k00082944;Kolumbien;GOALKEEPER;1569.8;0.8205;5.21;4.2746;3.512;2.8815
pl-k00083013;Argentinien;MIDFIELDER;;0.0;5.991;0.0;8.658;0.0
pl-k00083165;Norwegen;FORWARD;;0.0;4.789;0.0;0.91;0.0
pl-k00083239;Iran;DEFENDER;;0.0;4.3;0.0;-0.05;-0.0
pl-k00083248;Iran;MIDFIELDER;1604.6;0.8676;4.3;3.7308;-0.05;-0.0434
pl-k00083526;Algerien;DEFENDER;1866.2;0.9224;3.705;3.4175;-2.846;-2.6252
pl-k00083529;Algerien;FORWARD;1983.3;0.9803;3.705;3.6319;-2.846;-2.7899
pl-k00083544;Iran;GOALKEEPER;1665.6;0.9006;4.3;3.8727;-0.05;-0.045
pl-k00083613;Norwegen;MIDFIELDER;;0.0;4.789;0.0;0.91;0.0
pl-k00083712;Kanada;FORWARD;1694.9;0.8344;4.653;3.8822;1.822;1.5202
pl-k00083739;Südafrika;FORWARD;;0.0;3.314;0.0;-4.325;-0.0
pl-k00083783;Paraguay;DEFENDER;;0.0;4.452;0.0;0.178;0.0
pl-k00083984;Schweden;DEFENDER;1985.0;0.9315;3.796;3.5361;-2.337;-2.177
pl-k00083987;Schweden;MIDFIELDER;1773.8;0.8324;3.796;3.1599;-2.337;-1.9454
pl-k00084324;Schweiz;MIDFIELDER;1820.7;0.8781;5.181;4.5496;4.737;4.1597
pl-k00084365;Schweiz;DEFENDER;;0.0;5.181;0.0;4.737;0.0
pl-k00084527;Uruguay;FORWARD;1686.6;0.8145;4.672;3.8054;1.55;1.2625
pl-k00084530;Kanada;DEFENDER;1698.1;0.8359;4.653;3.8896;1.822;1.5231
pl-k00084740;Neuseeland;MIDFIELDER;1425.5;0.7714;3.48;2.6844;-3.434;-2.6489
pl-k00084940;Österreich;DEFENDER;1976.1;0.9055;4.129;3.7389;-1.1;-0.9961
pl-k00084943;Österreich;MIDFIELDER;2182.3;1.0;4.129;4.129;-1.1;-1.1
pl-k00085071;Österreich;GOALKEEPER;1571.3;0.72;4.129;2.973;-1.1;-0.792
pl-k00085122;Kroatien;FORWARD;1761.4;0.7915;4.93;3.9021;2.779;2.1996
pl-k00085245;Portugal;MIDFIELDER;1609.9;0.6866;5.302;3.6401;3.99;2.7393
pl-k00085275;Argentinien;GOALKEEPER;1788.4;0.8741;5.991;5.2367;8.658;7.5679
pl-k00085276;Argentinien;MIDFIELDER;1847.2;0.9028;5.991;5.4089;8.658;7.8167
pl-k00085349;Portugal;MIDFIELDER;2114.4;0.9017;5.302;4.7808;3.99;3.5978
