ID;Vorname;Nachname;Angezeigter Name;Verein;Position;Marktwert;Probability;exp_games;Erwartete Spiele;exp_gd;Erwartete Tordifferenz
pl-k00068111;Mathew;Leckie;Mathew Leckie;Australien;MIDFIELDER;1000000;0.0;4.066;0.0;-0.993;-0.0
pl-k00068757;David;Ospina;David Ospina;Kolumbien;GOALKEEPER;1000000;0.0;5.21;0.0;3.512;0.0
pl-k00069274;Roberto;Fernandez;Roberto Fernandez;Paraguay;GOALKEEPER;2000000;0.5;4.452;2.226;0.178;0.089
pl-k00069568;Cedric;Bakambu;Cedric Bakambu;DR Kongo;FORWARD;4000000;1.0;3.371;3.371;-4.126;-4.126
pl-k00069797;Dan;Burn;Dan Burn;England;DEFENDER;4000000;0.0;5.687;0.0;6.383;0.0
pl-k00070267;Alex Sandro;Lobo Silva;Alex Sandro;Brasilien;DEFENDER;4000000;0.4;5.351;2.14;5.126;2.05
pl-k00070270;Danilo Luiz;da Silva;Danilo;Brasilien;DEFENDER;4000000;0.0;5.351;0.0;5.126;0.0
pl-k00070281;Vladimir;Darida;Vladimir Darida;Tschechien;MIDFIELDER;1000000;1.0;4.198;4.198;-0.433;-0.433
pl-k00070495;Thomas;Meunier;Thomas Meunier;Belgien;DEFENDER;2000000;0.75;4.876;3.657;2.814;2.11
pl-k00070592;Jonathan;Tah;Jonathan Tah;Deutschland;DEFENDER;8000000;0.6;5.097;3.058;3.97;2.382
pl-k00070605;Harry;Kane;Harry Kane;England;FORWARD;10000000;0.8;5.687;4.55;6.383;5.106
pl-k00070654;Carlos Henrique;Casemiro;Casemiro;Brasilien;MIDFIELDER;6000000;1.0;5.351;5.351;5.126;5.126
pl-k00070756;Sead;Kolasinac;Sead Kolasinac;Bosnien-Herzegowina;DEFENDER;4000000;1.0;3.738;3.738;-2.61;-2.61
pl-k00070960;Jürgen;Locadia;Jürgen Locadia;Curacao;FORWARD;1000000;0.0;3.121;0.0;-6.73;-0.0
pl-k00071150;Joshua;Kimmich;Joshua Kimmich;Deutschland;DEFENDER;8000000;1.0;5.097;5.097;3.97;3.97
pl-k00071862;Santiago;Arias;Santiago Arias;Kolumbien;DEFENDER;2000000;0.0;5.21;0.0;3.512;0.0
pl-k00071888;Memphis;Depay;Memphis Depay;Niederlande;FORWARD;4000000;0.75;5.268;3.951;3.773;2.83
pl-k00072478;Mark;Flekken;Mark Flekken;Niederlande;GOALKEEPER;2000000;0.25;5.268;1.317;3.773;0.943
pl-k00072654;Mike;Maignan;Mike Maignan;Frankreich;GOALKEEPER;8000000;0.8;6.141;4.913;7.58;6.064
pl-k00072663;Seko;Fofana;Seko Fofana;Elfenbeinküste;MIDFIELDER;2000000;0.0;3.89;0.0;-2.143;-0.0
pl-k00072712;Riechedly;Bazoer;Riechedly Bazoer;Curacao;DEFENDER;1000000;0.0;3.121;0.0;-6.73;-0.0
pl-k00072716;Nathan;Aké;Nathan Aké;Niederlande;DEFENDER;4000000;1.0;5.268;5.268;3.773;3.773
pl-k00072755;Alexander;Nübel;Alexander Nübel;Deutschland;GOALKEEPER;2000000;0.2;5.097;1.019;3.97;0.794
pl-k00073097;Milos;Degenek;Milos Degenek;Australien;DEFENDER;1000000;0.667;4.066;2.712;-0.993;-0.662
pl-k00073206;Marcel;Sabitzer;Marcel Sabitzer;Österreich;MIDFIELDER;4000000;1.0;4.129;4.129;-1.1;-1.1
pl-k00073311;Alessandro;Schöpf;Alessandro Schöpf;Österreich;MIDFIELDER;1000000;0.0;4.129;0.0;-1.1;-0.0
pl-k00073393;Abdul Rahman;Baba;Abdul Rahman Baba;Ghana;DEFENDER;2000000;0.0;3.144;0.0;-6.374;-0.0
pl-k00073842;Roberto Carlos;Lopes;Pico;Kap Verde;DEFENDER;2000000;0.5;3.272;1.636;-5.876;-2.938
pl-k00073943;Raul;Jimenez;Raul Jimenez;Mexiko;FORWARD;4000000;1.0;4.905;4.905;2.864;2.864
pl-k00074093;Mohamed;Salah;Mohamed Salah;Ägypten;MIDFIELDER;8000000;1.0;3.951;3.951;-1.446;-1.446
pl-k00074274;Sadio;Mané;Sadio Mané;Senegal;FORWARD;6000000;1.0;4.598;4.598;0.171;0.171
pl-k00074305;Tim;Payne;Tim Payne;Neuseeland;DEFENDER;2000000;0.0;3.48;0.0;-3.434;-0.0
pl-k00074369;Yassine;Bounou;Bono;Marokko;GOALKEEPER;4000000;1.0;4.418;4.418;0.331;0.331
pl-k00074841;Juan Fernando;Quintero;Juan Fernando Quintero;Kolumbien;MIDFIELDER;1000000;0.0;5.21;0.0;3.512;0.0
pl-k00074928;Jordan;Pickford;Jordan Pickford;England;GOALKEEPER;6000000;1.0;5.687;5.687;6.383;6.383
pl-k00074936;Marcos;Aoas Correa;Marquinhos;Brasilien;DEFENDER;8000000;1.0;5.351;5.351;5.126;5.126
pl-k00074991;Emiliano;Martinez;Emiliano Martinez;Argentinien;GOALKEEPER;8000000;0.8;5.991;4.793;8.658;6.927
pl-k00075008;Marten;de Roon;Marten de Roon;Niederlande;MIDFIELDER;4000000;0.0;5.268;0.0;3.773;0.0
pl-k00075023;Joao Pedro;Cavaco Cancelo;Joao Cancelo;Portugal;DEFENDER;6000000;1.0;5.302;5.302;3.99;3.99
pl-k00075027;Yvon;Mvogo;Yvon Mvogo;Schweiz;GOALKEEPER;2000000;0.5;5.181;2.59;4.737;2.368
pl-k00075068;Lucas Michel;Mendes;Lucas Mendes;Katar;DEFENDER;1000000;0.5;3.194;1.597;-5.532;-2.766
pl-k00075076;Kalidou;Koulibaly;Kalidou Koulibaly;Senegal;DEFENDER;4000000;0.75;4.598;3.448;0.171;0.128
pl-k00075102;Ryan Isaac;Mendes da Graca;Ryan Mendes;Kap Verde;FORWARD;1000000;0.0;3.272;0.0;-5.876;-0.0
pl-k00075261;Haris;Tabakovic;Haris Tabakovic;Bosnien-Herzegowina;FORWARD;4000000;0.0;3.738;0.0;-2.61;-0.0
pl-k00075379;Silvan;Widmer;Silvan Widmer;Schweiz;DEFENDER;2000000;0.5;5.181;2.59;4.737;2.368
pl-k00075584;Adrien;Rabiot;Adrien Rabiot;Frankreich;MIDFIELDER;6000000;0.2;6.141;1.228;7.58;1.516
pl-k00075612;Dzenis;Burnic;Dzenis Burnic;Bosnien-Herzegowina;MIDFIELDER;2000000;0.0;3.738;0.0;-2.61;-0.0
pl-k00075628;Salih;Özcan;Salih Özcan;Türkei;MIDFIELDER;2000000;0.0;4.976;0.0;2.252;0.0
pl-k00075738;Aziz;Behich;Aziz Behich;Australien;DEFENDER;1000000;0.333;4.066;1.354;-0.993;-0.331
pl-k00075849;Aymeric;Laporte;Aymeric Laporte;Spanien;DEFENDER;4000000;1.0;6.547;6.547;13.21;13.21
pl-k00075878;Mathew;Ryan;Mathew Ryan;Australien;GOALKEEPER;4000000;0.333;4.066;1.354;-0.993;-0.331
pl-k00075957;Ramy;Rabia;Ramy Rabia;Ägypten;DEFENDER;2000000;0.5;3.951;1.976;-1.446;-0.723
pl-k00075963;Mahmoud Ibrahim;Hassan;Trezeguet;Ägypten;MIDFIELDER;4000000;1.0;3.951;3.951;-1.446;-1.446
pl-k00075982;Joshua;Brenet;Joshua Brenet;Curacao;DEFENDER;1000000;0.5;3.121;1.56;-6.73;-3.365
pl-k00076167;Chancel;Mbemba;Chancel Mbemba;DR Kongo;DEFENDER;2000000;1.0;3.371;3.371;-4.126;-4.126
pl-k00076249;Josimar;Dias;Vozinha;Kap Verde;GOALKEEPER;2000000;0.5;3.272;1.636;-5.876;-2.938
pl-k00076421;Phillipp;Mwene;Phillipp Mwene;Österreich;DEFENDER;4000000;1.0;4.129;4.129;-1.1;-1.1
pl-k00076459;John;Stones;John Stones;England;DEFENDER;6000000;0.4;5.687;2.275;6.383;2.553
pl-k00076681;Thomas;Teye Partey;Thomas;Ghana;MIDFIELDER;4000000;1.0;3.144;3.144;-6.374;-6.374
pl-k00077108;Fabio Henrique;Tavares;Fabinho;Brasilien;MIDFIELDER;2000000;0.0;5.351;0.0;5.126;0.0
pl-k00077358;Örjan;Nyland;Örjan Nyland;Norwegen;GOALKEEPER;4000000;1.0;4.789;4.789;0.91;0.91
pl-k00077564;Guillermo;Varela;Guillermo Varela;Uruguay;DEFENDER;4000000;0.5;4.672;2.336;1.55;0.775
pl-k00077709;Fredrik;Aursnes;Fredrik Aursnes;Norwegen;MIDFIELDER;4000000;0.0;4.789;0.0;0.91;0.0
pl-k00078155;Leandro;Bacuna;Leandro Bacuna;Curacao;MIDFIELDER;2000000;1.0;3.121;3.121;-6.73;-6.73
pl-k00078170;Eloy;Room;Eloy Room;Curacao;GOALKEEPER;2000000;1.0;3.121;3.121;-6.73;-6.73
pl-k00078181;Brice;Samba;Brice Samba;Frankreich;GOALKEEPER;4000000;0.2;6.141;1.228;7.58;1.516
pl-k00078230;Virgil;van Dijk;Virgil van Dijk;Niederlande;DEFENDER;6000000;1.0;5.268;5.268;3.773;3.773
pl-k00078543;Jonathan;Osorio;Jonathan Osorio;Kanada;MIDFIELDER;2000000;0.5;4.653;2.327;1.822;0.911
pl-k00078573;Johan;Mojica;Johan Mojica;Kolumbien;DEFENDER;2000000;1.0;5.21;5.21;3.512;3.512
pl-k00078750;Bruno Miguel;Borges Fernandes;Bruno Fernandes;Portugal;MIDFIELDER;8000000;0.6;5.302;3.182;3.99;2.394
pl-k00079032;Mitchell;Duke;Mitchell Duke;Australien;FORWARD;2000000;0.333;4.066;1.354;-0.993;-0.331
pl-k00079078;Nikola;Vasilj;Nikola Vasilj;Bosnien-Herzegowina;GOALKEEPER;4000000;1.0;3.738;3.738;-2.61;-2.61
pl-k00079176;Atakan;Karazor;Atakan Karazor;Türkei;MIDFIELDER;2000000;0.0;4.976;0.0;2.252;0.0
pl-k00079478;José Maria;Gimenez;José Maria Gimenez;Uruguay;DEFENDER;4000000;0.5;4.672;2.336;1.55;0.775
pl-k00079504;Florian;Grillitsch;Florian Grillitsch;Österreich;MIDFIELDER;2000000;0.0;4.129;0.0;-1.1;-0.0
pl-k00079536;Ajdin;Hrustic;Ajdin Hrustic;Australien;MIDFIELDER;2000000;0.0;4.066;0.0;-0.993;-0.0
pl-k00079543;Leroy;Sané;Leroy Sané;Deutschland;MIDFIELDER;4000000;0.4;5.097;2.039;3.97;1.588
pl-k00080083;Nadiem;Amiri;Nadiem Amiri;Deutschland;MIDFIELDER;4000000;0.0;5.097;0.0;3.97;0.0
pl-k00080174;Waldemar;Anton;Waldemar Anton;Deutschland;DEFENDER;4000000;0.0;5.097;0.0;3.97;0.0
pl-k00080229;Antonio;Sanabria;Antonio Sanabria;Paraguay;FORWARD;2000000;1.0;4.452;4.452;0.178;0.178
pl-k00080522;Gustavo;Gomez;Gustavo Gomez;Paraguay;DEFENDER;2000000;0.0;4.452;0.0;0.178;0.0
pl-k00080587;Dennis;Eckert Ayensa;Dennis Eckert Ayensa;Iran;FORWARD;2000000;0.0;4.3;0.0;-0.05;-0.0
pl-k00080630;Douglas dos Santos;Justino de Melo;Douglas Santos;Brasilien;DEFENDER;2000000;0.2;5.351;1.07;5.126;1.025
pl-k00080786;Youri;Tielemans;Youri Tielemans;Belgien;MIDFIELDER;6000000;1.0;4.876;4.876;2.814;2.814
pl-k00081053;Vladimir;Coufal;Vladimir Coufal;Tschechien;DEFENDER;6000000;1.0;4.198;4.198;-0.433;-0.433
pl-k00081250;Brandon;Mechele;Brandon Mechele;Belgien;DEFENDER;2000000;0.0;4.876;0.0;2.814;0.0
pl-k00081292;Jhon;Cordoba;Jhon Cordoba;Kolumbien;FORWARD;4000000;0.0;5.21;0.0;3.512;0.0
pl-k00081362;Mario;Pasalic;Mario Pasalic;Kroatien;MIDFIELDER;4000000;0.5;4.93;2.465;2.779;1.39
pl-k00081442;Mory;Diaw;Mory Diaw;Senegal;GOALKEEPER;1000000;0.25;4.598;1.149;0.171;0.043
pl-k00081465;Alejandro;Grimaldo;Alejandro Grimaldo;Spanien;DEFENDER;6000000;0.2;6.547;1.309;13.21;2.642
pl-k00081503;Theo;Bongonda;Theo Bongonda;DR Kongo;MIDFIELDER;2000000;0.0;3.371;0.0;-4.126;-0.0
pl-k00081538;Jean Michael;Seri;Jean Michael Seri;Elfenbeinküste;MIDFIELDER;2000000;0.0;3.89;0.0;-2.143;-0.0
pl-k00081694;Marin;Pongracic;Marin Pongracic;Kroatien;DEFENDER;2000000;0.0;4.93;0.0;2.779;0.0
pl-k00081971;Jackson;Irvine;Jackson Irvine;Australien;MIDFIELDER;4000000;1.0;4.066;4.066;-0.993;-0.993
pl-k00082152;Lucas;Hernandez;Lucas Hernandez;Frankreich;DEFENDER;4000000;0.2;6.141;1.228;7.58;1.516
pl-k00082469;Timothy;Castagne;Timothy Castagne;Belgien;DEFENDER;4000000;0.5;4.876;2.438;2.814;1.407
pl-k00082709;Garry;Mendes Rodrigues;Garry Rodrigues;Kap Verde;FORWARD;2000000;0.5;3.272;1.636;-5.876;-2.938
pl-k00082878;Andrew;Robertson;Andrew Robertson;Schottland;DEFENDER;4000000;1.0;4.12;4.12;-0.984;-0.984
pl-k00082905;Enner;Valencia;Enner Valencia;Ecuador;FORWARD;4000000;0.5;5.04;2.52;4.088;2.044
pl-k00082915;Breel;Embolo;Breel Embolo;Schweiz;FORWARD;4000000;1.0;5.181;5.181;4.737;4.737
pl-k00082944;Camilo;Vargas;Camilo Vargas;Kolumbien;GOALKEEPER;4000000;0.5;5.21;2.605;3.512;1.756
pl-k00083013;Leandro;Paredes;Leandro Paredes;Argentinien;MIDFIELDER;4000000;0.2;5.991;1.198;8.658;1.732
pl-k00083165;Alexander;Sörloth;Alexander Sörloth;Norwegen;FORWARD;6000000;1.0;4.789;4.789;0.91;0.91
pl-k00083239;Ehsan;Haji Safi;Ehsan Haji Safi;Iran;DEFENDER;1000000;0.0;4.3;0.0;-0.05;-0.0
pl-k00083248;Alireza;Jahanbakhsh;Alireza Jahanbakhsh;Iran;MIDFIELDER;2000000;0.0;4.3;0.0;-0.05;-0.0
pl-k00083526;Aissa;Mandi;Aissa Mandi;Algerien;DEFENDER;2000000;1.0;3.705;3.705;-2.846;-2.846
pl-k00083529;Riyad;Mahrez;Riyad Mahrez;Algerien;FORWARD;4000000;1.0;3.705;3.705;-2.846;-2.846
pl-k00083544;Alireza;Beiranvand;Alireza Beiranvand;Iran;GOALKEEPER;2000000;1.0;4.3;4.3;-0.05;-0.05
pl-k00083613;Martin;Ödegaard;Martin Ödegaard;Norwegen;MIDFIELDER;8000000;1.0;4.789;4.789;0.91;0.91
pl-k00083712;Cyle;Larin;Cyle Larin;Kanada;FORWARD;4000000;0.25;4.653;1.163;1.822;0.456
pl-k00083739;Themba;Zwane;Themba Zwane;Südafrika;FORWARD;1000000;0.0;3.314;0.0;-4.325;-0.0
pl-k00083783;Junior;Alonso;Junior Alonso;Paraguay;DEFENDER;2000000;0.5;4.452;2.226;0.178;0.089
pl-k00083984;Carl;Starfelt;Carl Starfelt;Schweden;DEFENDER;2000000;0.5;3.796;1.898;-2.337;-1.168
pl-k00083987;Jesper;Karlström;Jesper Karlström;Schweden;MIDFIELDER;4000000;1.0;3.796;3.796;-2.337;-2.337
pl-k00084324;Remo;Freuler;Remo Freuler;Schweiz;MIDFIELDER;4000000;1.0;5.181;5.181;4.737;4.737
pl-k00084365;Nico;Elvedi;Nico Elvedi;Schweiz;DEFENDER;4000000;1.0;5.181;5.181;4.737;4.737
pl-k00084527;Rodrigo;Aguirre;Rodrigo Aguirre;Uruguay;FORWARD;1000000;0.5;4.672;2.336;1.55;0.775
pl-k00084530;Derek;Cornelius;Derek Cornelius;Kanada;DEFENDER;4000000;0.5;4.653;2.327;1.822;0.911
pl-k00084740;Ryan;Thomas;Ryan Thomas;Neuseeland;MIDFIELDER;2000000;0.0;3.48;0.0;-3.434;-0.0
pl-k00084940;Philipp;Lienhart;Philipp Lienhart;Österreich;DEFENDER;4000000;0.5;4.129;2.064;-1.1;-0.55
pl-k00084943;Konrad;Laimer;Konrad Laimer;Österreich;MIDFIELDER;6000000;1.0;4.129;4.129;-1.1;-1.1
pl-k00085071;Alexander;Schlager;Alexander Schlager;Österreich;GOALKEEPER;2000000;1.0;4.129;4.129;-1.1;-1.1
pl-k00085122;Ante;Budimir;Ante Budimir;Kroatien;FORWARD;4000000;1.0;4.93;4.93;2.779;2.779
pl-k00085245;Bernardo Mota;Veiga de Carvalho e Silva;Bernardo Silva;Portugal;MIDFIELDER;6000000;0.2;5.302;1.06;3.99;0.798
pl-k00085275;Geronimo;Rulli;Geronimo Rulli;Argentinien;GOALKEEPER;4000000;0.0;5.991;0.0;8.658;0.0
pl-k00085276;Rodrigo;de Paul;Rodrigo de Paul;Argentinien;MIDFIELDER;6000000;0.8;5.991;4.793;8.658;6.927
pl-k00085349;Ruben Diogo;da Silva Neves;Ruben Neves;Portugal;MIDFIELDER;4000000;0.2;5.302;1.06;3.99;0.798
pl-k00085376;Arthur;Masuaku;Arthur Masuaku;DR Kongo;DEFENDER;2000000;1.0;3.371;3.371;-4.126;-4.126
pl-k00085378;Jindrich;Stanek;Jindrich Stanek;Tschechien;GOALKEEPER;1000000;0.0;4.198;0.0;-0.433;-0.0
pl-k00085465;Nikola;Vlasic;Nikola Vlasic;Kroatien;MIDFIELDER;2000000;0.0;4.93;0.0;2.779;0.0
pl-k00085665;Ederson;Santana de Moraes;Ederson;Brasilien;GOALKEEPER;4000000;0.0;5.351;0.0;5.126;0.0
pl-k00085696;Hans;Vanaken;Hans Vanaken;Belgien;MIDFIELDER;2000000;0.0;4.876;0.0;2.814;0.0
pl-k00085778;Patrik;Schick;Patrik Schick;Tschechien;FORWARD;6000000;1.0;4.198;4.198;-0.433;-0.433
pl-k00085906;Scott;McKenna;Scott McKenna;Schottland;DEFENDER;4000000;1.0;4.12;4.12;-0.984;-0.984
pl-k00085917;Lawrence;Shankland;Lawrence Shankland;Schottland;FORWARD;2000000;0.0;4.12;0.0;-0.984;-0.0
pl-k00086035;Goncalo;Guedes;Goncalo Guedes;Portugal;FORWARD;4000000;0.0;5.302;0.0;3.99;0.0
pl-k00086109;Duje;Caleta-Car;Duje Caleta-Car;Kroatien;DEFENDER;4000000;1.0;4.93;4.93;2.779;2.779
pl-k00086141;Kai;Havertz;Kai Havertz;Deutschland;FORWARD;8000000;1.0;5.097;5.097;3.97;3.97
pl-k00086183;Tomas;Holes;Tomas Holes;Tschechien;DEFENDER;2000000;0.0;4.198;0.0;-0.433;-0.0
pl-k00086391;Marcos;Llorente;Marcos Llorente;Spanien;DEFENDER;6000000;0.4;6.547;2.619;13.21;5.284
pl-k00086584;Inaki;Williams;Inaki Williams;Ghana;FORWARD;6000000;0.5;3.144;1.572;-6.374;-3.187
pl-k00086910;Borja;Iglesias;Borja Iglesias;Spanien;FORWARD;4000000;0.0;6.547;0.0;13.21;0.0
pl-k00087248;Sergio;Rochet;Sergio Rochet;Uruguay;GOALKEEPER;2000000;0.0;4.672;0.0;1.55;0.0
pl-k00087254;Martin;Erlic;Martin Erlic;Kroatien;DEFENDER;1000000;0.0;4.93;0.0;2.779;0.0
pl-k00087278;Morten;Thorsby;Morten Thorsby;Norwegen;MIDFIELDER;2000000;0.0;4.789;0.0;0.91;0.0
pl-k00087371;Osman;Hadzikic;Osman Hadzikic;Bosnien-Herzegowina;GOALKEEPER;1000000;0.0;3.738;0.0;-2.61;-0.0
pl-k00087507;Steven;Moreira;Steven Moreira;Kap Verde;DEFENDER;1000000;0.0;3.272;0.0;-5.876;-0.0
pl-k00087512;Johny;Placide;Johny Placide;Haiti;GOALKEEPER;2000000;0.5;3.218;1.609;-5.302;-2.651
pl-k00087534;N’Golo;Kanté;N’Golo Kanté;Frankreich;MIDFIELDER;4000000;0.4;6.141;2.456;7.58;3.032
pl-k00087576;Alexander;Djiku;Alexander Djiku;Ghana;DEFENDER;2000000;1.0;3.144;3.144;-6.374;-6.374
pl-k00087622;Ugurcan;Cakir;Ugurcan Cakir;Türkei;GOALKEEPER;4000000;0.5;4.976;2.488;2.252;1.126
pl-k00087673;Gregor;Kobel;Gregor Kobel;Schweiz;GOALKEEPER;6000000;0.5;5.181;2.59;4.737;2.368
pl-k00087704;Kevin;Danso;Kevin Danso;Österreich;DEFENDER;4000000;1.0;4.129;4.129;-1.1;-1.1
pl-k00087705;Ermedin;Demirovic;Ermedin Demirovic;Bosnien-Herzegowina;FORWARD;6000000;1.0;3.738;3.738;-2.61;-2.61
pl-k00087735;Irfan Can;Kahveci;Irfan Can Kahveci;Türkei;FORWARD;2000000;0.0;4.976;0.0;2.252;0.0
pl-k00087750;David;Raum;David Raum;Deutschland;DEFENDER;6000000;0.6;5.097;3.058;3.97;2.382
pl-k00087823;Jae-Sung;Lee;Jae-Sung Lee;Südkorea;MIDFIELDER;4000000;0.333;4.339;1.445;0.171;0.057
pl-k00087867;Franck;Kessié;Franck Kessié;Elfenbeinküste;MIDFIELDER;4000000;1.0;3.89;3.89;-2.143;-2.143
pl-k00087885;Deniz;Undav;Deniz Undav;Deutschland;FORWARD;6000000;0.0;5.097;0.0;3.97;0.0
pl-k00087974;Michal;Sadilek;Michal Sadilek;Tschechien;MIDFIELDER;4000000;0.0;4.198;0.0;-0.433;-0.0
pl-k00088045;Marc;Cucurella;Marc Cucurella;Spanien;DEFENDER;6000000;0.6;6.547;3.928;13.21;7.926
pl-k00088049;Daniel;Olmo Carvajal;Dani Olmo;Spanien;FORWARD;8000000;0.6;6.547;3.928;13.21;7.926
pl-k00088147;Luca;Zidane;Luca Zidane;Algerien;GOALKEEPER;4000000;1.0;3.705;3.705;-2.846;-2.846
