ID;Marktwert TM;TM-ID;TM-Name;Verein
pl-k00091289;40000000.0;258923;Marcus Rashford;England
pl-k00091305;10000000.0;272622;Issa Diop;Marokko
pl-k00091368;3000000.0;357117;Alban Lafont;Elfenbeinküste
pl-k00091403;10000000.0;292246;Hee-chan Hwang;Südkorea
pl-k00091409;180000000.0;342229;Kylian Mbappé;Frankreich
pl-k00091463;9000000.0;188077;Ryan Christie;Schottland
pl-k00091537;45000000.0;411975;Jules Koundé;Frankreich
pl-k00091555;2000000.0;298583;Eray Cömert;Schweiz
pl-k00091959;4200000.0;293213;Amir Hadziahmetovic;Bosnien-Herzegowina
pl-k00092347;;189014;Maxime Crépeau;Kanada
pl-k00092690;4500000.0;243856;Cedric Itten;Schweiz
pl-k00093122;60000000.0;258004;Rúben Dias;Portugal
pl-k00093334;2500000.0;129586;Joris Kayembe;DR Kongo
pl-k00093439;8000000.0;234811;Rui Silva;Portugal
pl-k00093477;15000000.0;193116;John McGinn;Schottland
pl-k00093739;7000000.0;315291;Haji Wright;USA
pl-k00093752;25000000.0;321528;Denzel Dumfries;Niederlande
pl-k00093879;3200000.0;243879;Charles Pickel;DR Kongo
pl-k00094296;40000000.0;314678;Brahim Díaz;Marokko
pl-k00094309;1500000.0;439914;John Yeboah;Ecuador
pl-k00094312;;121791;Éric Davis;Panama
pl-k00094314;;345716;Fidel Escobar;Panama
pl-k00094316;;126019;Alberto Quintero;Panama
pl-k00094317;;161671;Aníbal Godoy;Panama
pl-k00094325;1000000.0;243298;Ismael Díaz;Panama
pl-k00094331;9000000.0;272999;Miguel Almirón;Paraguay
pl-k00094503;1600000.0;345763;Duckens Nazon;Haiti
pl-k00094622;3000000.0;289446;Yerry Mina;Kolumbien
pl-k00094626;;185175;Jason Geria;Australien
pl-k00094807;120000000.0;349066;Alexander Isak;Schweden
pl-k00094866;50000000.0;411295;Raphinha;Brasilien
pl-k00094959;17000000.0;346853;Romano Schmid;Österreich
pl-k00095021;40000000.0;357153;Diogo Costa;Portugal
pl-k00095023;28000000.0;357147;Diogo Dalot;Portugal
pl-k00095030;;250490;Christian Fassnacht;Schweiz
pl-k00095063;6000000.0;374954;Kristijan Jakic;Kroatien
pl-k00095107;1500000.0;226097;Ivan Sunjic;Bosnien-Herzegowina
pl-k00095175;6000000.0;375137;Ismail Jakobs;Senegal
pl-k00095198;1500000.0;388171;Anthony Ralston;Schottland
pl-k00095199;16000000.0;328658;Kristoffer Ajer;Norwegen
pl-k00095254;22000000.0;375885;Ibrahim Sangaré;Elfenbeinküste
pl-k00095392;28000000.0;388165;Yoane Wissa;DR Kongo
pl-k00095393;8500000.0;343052;Nicolas Pépé;Elfenbeinküste
pl-k00095547;2500000.0;320440;Gustaf Nilsson;Schweden
pl-k00095604;;377268;Fahad Talib;Irak
pl-k00095650;500000.0;140554;Martin Boyle;Australien
pl-k00095657;16000000.0;348795;Giovani Lo Celso;Argentinien
pl-k00095671;7000000.0;387687;César Montes;Mexiko
pl-k00095732;4000000.0;332560;Deiver Machado;Kolumbien
pl-k00095741;2500000.0;252345;Ken Sema;Schweden
pl-k00095804;;384568;Stjepan Radeljic;Bosnien-Herzegowina
pl-k00095892;;353432;Aubrey Modiba;Südafrika
pl-k00095993;1700000.0;330871;Muhammed Şengezer;Türkei
pl-k00096140;55000000.0;388198;Nico Schlotterbeck;Deutschland
pl-k00096154;;69400;Weverton;Brasilien
pl-k00096210;5000000.0;292534;Eric Smith;Schweden
pl-k00096455;900000.0;249271;Saeid Ezatolahi;Iran
pl-k00096513;15000000.0;372267;Guus Til;Niederlande
pl-k00096516;800000.0;315211;Sherel Floranus;Curacao
pl-k00096664;3000000.0;237846;Edmílson Junior;Katar
pl-k00096665;2500000.0;201574;Angus Gunn;Schottland
pl-k00096715;18000000.0;341429;Davinson Sánchez;Kolumbien
pl-k00096723;35000000.0;410225;Ismaïla Sarr;Senegal
pl-k00096767;12000000.0;283628;Tomáš Souček;Tschechien
pl-k00096835;20000000.0;144028;Leandro Trossard;Belgien
pl-k00096877;1500000.0;385918;Aiden O'Neill;Australien
pl-k00096971;4500000.0;336646;Akram Afif;Katar
pl-k00097030;6500000.0;422850;Ghislain Konan;Elfenbeinküste
pl-k00097143;22000000.0;332697;Weston McKennie;USA
pl-k00097277;7000000.0;334042;Orbelín Pineda;Mexiko
pl-k00097322;4500000.0;237658;Michel Aebischer;Schweiz
pl-k00097512;40000000.0;420002;Jean-Philippe Mateta;Frankreich
pl-k00097518;10000000.0;395693;Houssem Aouar;Algerien
pl-k00097593;1000000.0;432852;Deroy Duarte;Kap Verde
pl-k00097599;3500000.0;235767;John Souttar;Schottland
pl-k00097772;;344854;Jesús Gallardo;Mexiko
pl-k00097808;4000000.0;469976;Christopher Operi;Elfenbeinküste
pl-k00097868;20000000.0;340879;Merih Demiral;Türkei
pl-k00098067;22000000.0;401356;Edson Álvarez;Mexiko
pl-k00098095;32000000.0;330659;Justin Kluivert;Niederlande
pl-k00098133;22000000.0;477758;Aaron Wan-Bissaka;DR Kongo
pl-k00098162;120000000.0;357662;Declan Rice;England
pl-k00098210;;518942;Karim El Eraki;Ägypten
pl-k00098226;1000000.0;97925;Munir El Kajoui;Marokko
pl-k00098238;;423678;Meschack Elia;DR Kongo
pl-k00098347;2000000.0;204294;Saman Ghoddos;Iran
