# Unmatched kicker players: 255
Mexiko | pl-k00039824 | Guillermo Ochoa
Mexiko | pl-k00095671 | Cesar Montes
Kolumbien | pl-k00095732 | Deiver Machado
Deutschland | pl-k00096140 | Nico Schlotterbeck
Türkei | pl-k00096489 | Ferdi Kadioglu
Kolumbien | pl-k00096715 | Davinson Sanchez
Senegal | pl-k00096723 | Ismaila Sarr
Australien | pl-k00096877 | Aiden O'Neill
Mexiko | pl-k00098067 | Edson Alvarez
Niederlande | pl-k00098095 | Justin Kluivert
Marokko | pl-k00098226 | Munir
Ecuador | pl-k00098854 | Pervis Estupinan
USA | pl-k00099308 | Miles Robinson
Haiti | pl-k00099350 | Derrick Etienne Jr.
Paraguay | pl-k00100385 | Angel Romero
Schottland | pl-k00100539 | Billy Gilmour
Spanien | pl-k00100775 | Eric
Neuseeland | pl-k00101025 | Michael Boxall
Japan | pl-k00101100 | Takefusa Kubo
Uruguay | pl-k00101284 | Santiago Bueno
Uruguay | pl-k00101287 | José Luis Rodriguez
Uruguay | pl-k00101288 | Mathias Olivera
Frankreich | pl-k00101356 | Ibrahima Konaté
Schweden | pl-k00101588 | Viktor Johansson
Niederlande | pl-k00101636 | Teun Koopmeiners
Niederlande | pl-k00103453 | Tijjani Reijnders
Türkei | pl-k00103776 | Yusuf Sari
Ghana | pl-k00104033 | Gideon Mensah
Ghana | pl-k00104274 | Elisha Owusu
Iran | pl-k00104723 | Milad Mohammadi
Iran | pl-k00104727 | Hossein Kanaani
England | pl-k00105223 | Anthony Gordon
Japan | pl-k00105391 | Junya Ito
Paraguay | pl-k00106067 | Kaku
Japan | pl-k00106091 | Ao Tanaka
Japan | pl-k00106358 | Hiroki Ito
Norwegen | pl-k00106946 | Leo Östigaard
Türkei | pl-k00108112 | Altay Bayindir
Kolumbien | pl-k00108337 | Cucho Hernandez
Haiti | pl-k00108624 | Leverton Pierre
USA | pl-k00108633 | Antonee Robinson
Argentinien | pl-k00110300 | Nicolas Gonzalez
Kanada | pl-k00110515 | Mathieu Choiniere
Senegal | pl-k00110713 | Krepin Diatta
Kanada | pl-k00110836 | Jonathan David
Jordanien | pl-k00111092 | Musa Al-Taamari
Argentinien | pl-k00111568 | Cristian Romero
Mexiko | pl-k00111988 | Jorge Sanchez
Mexiko | pl-k00112077 | Diego Lainez
Mexiko | pl-k00112079 | Roberto Alvarado
Norwegen | pl-k00112426 | Jörgen Strand Larsen
Niederlande | pl-k00112929 | Jan Paul van Hecke
Argentinien | pl-k00113163 | Gonzalo Montiel
Argentinien | pl-k00113179 | Julian Alvarez
USA | pl-k00113426 | Alejandro Zendejas
Irak | pl-k00113751 | Rebin Sulaka
Usbekistan | pl-k00113863 | Farrukh Sayfiev
Katar | pl-k00113931 | Sultan Al-Brake
Ecuador | pl-k00114259 | Jordy Alcivar
Uruguay | pl-k00114311 | Sebastian Caceres
Uruguay | pl-k00114315 | Maxi Araujo
Uruguay | pl-k00114335 | Darwin
Argentinien | pl-k00114381 | Thiago Almada
Frankreich | pl-k00114723 | Manu Koné
Tunesien | pl-k00114796 | Hannibal
USA | pl-k00114998 | Brenden Aaronson
Japan | pl-k00115166 | Daizen Maeda
Japan | pl-k00115227 | Tsuyoshi Watanabe
Mexiko | pl-k00115268 | Julian Araujo
Kolumbien | pl-k00115590 | Jorge Carrascal
Argentinien | pl-k00115688 | Nahuel Molina
Ecuador | pl-k00115723 | Felix Torres
Mexiko | pl-k00115743 | Carlos Rodriguez
Paraguay | pl-k00115787 | Alan Benitez
Paraguay | pl-k00115805 | Julio Enciso
Uruguay | pl-k00116213 | Brian Rodriguez
Marokko | pl-k00116659 | Anass Salah-Eddine
Algerien | pl-k00116711 | Adil Aouchiche
Japan | pl-k00117046 | Zion Suzuki
Norwegen | pl-k00117065 | Jens Petter Hauge
Haiti | pl-k00117270 | Frantzdy Pierrot
Uruguay | pl-k00117527 | Ronald Araujo
Saudi-Arabien | pl-k00117736 | Firas Al-Buraikan
Portugal | pl-k00118616 | Samuel Costa
Norwegen | pl-k00118634 | Marcus Pedersen
Senegal | pl-k00121260 | Abdoulaye Seck
Neuseeland | pl-k00123545 | Matthew Garbett
Ägypten | pl-k00123588 | Haissem Hassan
Senegal | pl-k00123794 | Pape Sarr
Elfenbeinküste | pl-k00124076 | Amad
Südafrika | pl-k00124100 | Yaya Sithole
England | pl-k00125171 | Eberechi Eze
Österreich | pl-k00125269 | Patrick Wimmer
Australien | pl-k00126071 | Mohamed Touré
Japan | pl-k00126161 | Yuito Suzuki
Usbekistan | pl-k00126192 | Oston Urunov
Kolumbien | pl-k00126539 | Jhon Arias
Ecuador | pl-k00126584 | Angelo Preciado
Ecuador | pl-k00126589 | Moises Caicedo
Ecuador | pl-k00126697 | Anthony Valencia
Argentinien | pl-k00126831 | Enzo Fernandez
Paraguay | pl-k00126894 | Juan José Caceres
Kolumbien | pl-k00128521 | Richard Rios
Südkorea | pl-k00128894 | Jin-Gyu Kim
Senegal | pl-k00129278 | Pape Gueye
Kolumbien | pl-k00129372 | Daniel Munoz
Mexiko | pl-k00130288 | Brian Gutierrez
Kroatien | pl-k00130586 | Luka Sucic
Senegal | pl-k00130792 | Cherif Ndiaye
Kroatien | pl-k00131702 | Josip Sutalo
England | pl-k00131854 | Elliot Anderson
Ecuador | pl-k00133182 | José Andres Hurtado
Senegal | pl-k00133422 | Iliman Ndiaye
Schweden | pl-k00133786 | Daniel Svensson
Paraguay | pl-k00134333 | Ramon Sosa
